CODE_DOMAIN,CODE_VALUE,CODE_DESC,uri,uri2,uri3,uri4,label1,label2,label3
C_O_SOIL_TAXONOMY,A,Alfisol,http://registry.it.csiro.au/def/soils/soil-taxonomy/,alfisol,alfisol,http://registry.it.csiro.au/def/soils/soil-taxonomy/alfisol,',@en,'Alfisol'@en
C_O_SOIL_TAXONOMY,AAQ,Aqualf,http://registry.it.csiro.au/def/soils/soil-taxonomy/,aqualf,aqualf,http://registry.it.csiro.au/def/soils/soil-taxonomy/aqualf,',@en,'Aqualf'@en
C_O_SOIL_TAXONOMY,AAQAL,Albaqualf,http://registry.it.csiro.au/def/soils/soil-taxonomy/,albaqualf,albaqualf,http://registry.it.csiro.au/def/soils/soil-taxonomy/albaqualf,',@en,'Albaqualf'@en
C_O_SOIL_TAXONOMY,AAQDU,Duraqualf,http://registry.it.csiro.au/def/soils/soil-taxonomy/,duraqualf,duraqualf,http://registry.it.csiro.au/def/soils/soil-taxonomy/duraqualf,',@en,'Duraqualf'@en
C_O_SOIL_TAXONOMY,AAQFR,Fragiaqualf,http://registry.it.csiro.au/def/soils/soil-taxonomy/,fragiaqualf,fragiaqualf,http://registry.it.csiro.au/def/soils/soil-taxonomy/fragiaqualf,',@en,'Fragiaqualf'@en
C_O_SOIL_TAXONOMY,AAQGL,Glossaqualf,http://registry.it.csiro.au/def/soils/soil-taxonomy/,glossaqualf,glossaqualf,http://registry.it.csiro.au/def/soils/soil-taxonomy/glossaqualf,',@en,'Glossaqualf'@en
C_O_SOIL_TAXONOMY,AAQKA,Kandiaqualf,http://registry.it.csiro.au/def/soils/soil-taxonomy/,kandiaqualf,kandiaqualf,http://registry.it.csiro.au/def/soils/soil-taxonomy/kandiaqualf,',@en,'Kandiaqualf'@en
C_O_SOIL_TAXONOMY,AAQNA,Natraqualf,http://registry.it.csiro.au/def/soils/soil-taxonomy/,natraqualf,natraqualf,http://registry.it.csiro.au/def/soils/soil-taxonomy/natraqualf,',@en,'Natraqualf'@en
C_O_SOIL_TAXONOMY,AAQOC,Ochraqualf,http://registry.it.csiro.au/def/soils/soil-taxonomy/,ochraqualf,ochraqualf,http://registry.it.csiro.au/def/soils/soil-taxonomy/ochraqualf,',@en,'Ochraqualf'@en
C_O_SOIL_TAXONOMY,AAQPN,Plinthaqualf,http://registry.it.csiro.au/def/soils/soil-taxonomy/,plinthaqualf,plinthaqualf,http://registry.it.csiro.au/def/soils/soil-taxonomy/plinthaqualf,',@en,'Plinthaqualf'@en
C_O_SOIL_TAXONOMY,AAQUM,Umbraqualf,http://registry.it.csiro.au/def/soils/soil-taxonomy/,umbraqualf,umbraqualf,http://registry.it.csiro.au/def/soils/soil-taxonomy/umbraqualf,',@en,'Umbraqualf'@en
C_O_SOIL_TAXONOMY,ABO,Boralf,http://registry.it.csiro.au/def/soils/soil-taxonomy/,boralf,boralf,http://registry.it.csiro.au/def/soils/soil-taxonomy/boralf,',@en,'Boralf'@en
C_O_SOIL_TAXONOMY,ABOCR,Cryoboralf,http://registry.it.csiro.au/def/soils/soil-taxonomy/,cryoboralf,cryoboralf,http://registry.it.csiro.au/def/soils/soil-taxonomy/cryoboralf,',@en,'Cryoboralf'@en
C_O_SOIL_TAXONOMY,ABOEU,Eutroboralf,http://registry.it.csiro.au/def/soils/soil-taxonomy/,eutroboralf,eutroboralf,http://registry.it.csiro.au/def/soils/soil-taxonomy/eutroboralf,',@en,'Eutroboralf'@en
C_O_SOIL_TAXONOMY,ABOFR,Fragiboralf,http://registry.it.csiro.au/def/soils/soil-taxonomy/,fragiboralf,fragiboralf,http://registry.it.csiro.au/def/soils/soil-taxonomy/fragiboralf,',@en,'Fragiboralf'@en
C_O_SOIL_TAXONOMY,ABOGL,Glossoboralf,http://registry.it.csiro.au/def/soils/soil-taxonomy/,glossoboralf,glossoboralf,http://registry.it.csiro.au/def/soils/soil-taxonomy/glossoboralf,',@en,'Glossoboralf'@en
C_O_SOIL_TAXONOMY,ABONA,Natriboralf,http://registry.it.csiro.au/def/soils/soil-taxonomy/,natriboralf,natriboralf,http://registry.it.csiro.au/def/soils/soil-taxonomy/natriboralf,',@en,'Natriboralf'@en
C_O_SOIL_TAXONOMY,ABOPA,Paleboralf,http://registry.it.csiro.au/def/soils/soil-taxonomy/,paleboralf,paleboralf,http://registry.it.csiro.au/def/soils/soil-taxonomy/paleboralf,',@en,'Paleboralf'@en
C_O_SOIL_TAXONOMY,AUD,Udalf,http://registry.it.csiro.au/def/soils/soil-taxonomy/,udalf,udalf,http://registry.it.csiro.au/def/soils/soil-taxonomy/udalf,',@en,'Udalf'@en
C_O_SOIL_TAXONOMY,AUDAG,Agrudalf,http://registry.it.csiro.au/def/soils/soil-taxonomy/,agrudalf,agrudalf,http://registry.it.csiro.au/def/soils/soil-taxonomy/agrudalf,',@en,'Agrudalf'@en
