agency_code,proj_code,s_id,o_id,h_no,h_desig_num_pref,h_desig_master,h_desig_subdiv,h_desig_suffix,h_upper_depth,h_lower_depth,h_texture,h_texture_qual,h_soil_water_stat,h_stickiness,h_plasticity_type,h_plasticity_deg,h_water_repellence,h_carbonate_eff,h_bound_distinct,h_bound_shape,h_permeability,h_notes,h_ec,h_salinity_depth,h_dispersion
799,AS1,NT36,1,8,NULL,NULL,NULL,NULL,1.83,1.91,MC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT37,1,1,NULL,NULL,NULL,NULL,0,0.03,SL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,D,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT37,1,2,NULL,NULL,NULL,NULL,0.03,0.1,SCL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,D,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT37,1,3,NULL,NULL,NULL,NULL,0.1,0.25,SMC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,D,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT37,1,4,NULL,NULL,NULL,NULL,0.25,0.48,LMC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,C,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT37,1,5,NULL,NULL,NULL,NULL,0.48,0.56,MC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT37,1,6,NULL,NULL,NULL,NULL,0.56,0.84,SMC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT38,1,1,NULL,NULL,NULL,NULL,0,0.11,SL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT38,1,2,NULL,NULL,NULL,NULL,0.11,0.33,LMC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,D,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT38,1,3,NULL,NULL,NULL,NULL,0.33,0.4,LMC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,D,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT38,1,4,NULL,NULL,NULL,NULL,0.4,0.59,LMC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT38,1,5,NULL,NULL,NULL,NULL,0.59,0.79,SCL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT39,1,1,NULL,NULL,NULL,NULL,0,0.01,CS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,S,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT39,1,2,NULL,NULL,NULL,NULL,0.01,0.03,SL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,D,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT39,1,3,NULL,NULL,NULL,NULL,0.03,0.25,SL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,D,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT39,1,4,NULL,NULL,NULL,NULL,0.25,0.33,SCL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT39,1,5,NULL,NULL,NULL,NULL,0.33,0.48,SMC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT39,1,6,NULL,NULL,NULL,NULL,0.48,0.66,LC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT39,1,7,NULL,NULL,NULL,NULL,0.66,0.79,SMC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT39,1,8,NULL,NULL,NULL,NULL,0.79,1.06,SMC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT4,1,1,NULL,NULL,NULL,NULL,0,0.07,LFS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,D,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT4,1,2,NULL,NULL,NULL,NULL,0.07,0.4,FS,+,NULL,NULL,NULL,NULL,NULL,NULL,C,W,NULL,NULL,NULL,NULL,NULL
799,AS1,NT4,1,3,NULL,NULL,NULL,NULL,0.4,0.45,SL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,C,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT4,1,4,NULL,NULL,NULL,NULL,0.45,0.76,FS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT4,1,5,NULL,NULL,NULL,NULL,0.76,1.09,FS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT4,1,6,NULL,NULL,NULL,NULL,1.09,1.62,FS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,D,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT4,1,7,NULL,NULL,NULL,NULL,1.85,2,L,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT40,1,1,NULL,NULL,NULL,NULL,0,0.03,CS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,S,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT40,1,2,NULL,NULL,NULL,NULL,0.03,0.08,SL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT40,1,3,NULL,NULL,NULL,NULL,0.08,0.23,SL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,D,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT40,1,4,NULL,NULL,NULL,NULL,0.23,0.51,SL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT40,1,5,NULL,NULL,NULL,NULL,0.51,0.69,CS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT40,1,6,NULL,NULL,NULL,NULL,0.69,0.96,SL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT40,1,7,NULL,NULL,NULL,NULL,0.96,1.06,SCL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT40,1,8,NULL,NULL,NULL,NULL,1.06,1.21,SCL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT40,1,9,NULL,NULL,NULL,NULL,1.21,1.37,SLC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT41,1,1,NULL,NULL,NULL,NULL,0,0.04,CL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,D,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT41,1,2,NULL,NULL,NULL,NULL,0.04,0.23,MC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,D,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT41,1,3,NULL,NULL,NULL,NULL,0.23,0.43,MC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
